id	rate
00602	250
00603	2700
00604	770
00605	1000
00610	250
00625	2700
00646	29600
00653	1000
00660	2000
00676	500
00677	5650
00680	5400
00681	3000
00692	2000
00693	2200
00694	1000
00715	2700
00717	2700
00725	13350
00726	1500
00727	1250
00732	1000
00734	2700
00737	8250
00738	1000
00745	500
00754	260
00769	2700
00773	3550
00775	3497
00778	2700
00780	1800
00791	15500
00801	9750
00802	28291
00803	5700
00804	33296
00820	11789
00821	2700
00822	1000
00824	27221
00830	9250
00831	8147
00840	1000
00841	100
00850	5000
00851	6121
00901	21700
00902	17650
00907	50148
00908	23900
00909	9100
00910	8400
00911	18496
00912	500
00913	9500
00914	9100
00917	3700
00918	22340
00919	25850
00920	6400
00922	10150
00923	400
00926	44750
00927	56350
00928	1500
00929	3700
00936	57900
00949	2700
00950	2950
00956	250
00958	106
00959	500
00960	16100
00961	3200
00966	70890
00968	20700
00969	14200
00970	200
00971	1000
00976	520
00979	12350
00983	4200
00984	2700
00987	500
01001	975
01002	81588
01003	250
01004	3750
01005	250
01007	5570
01013	253
01020	1591
01026	1000
01027	42340
01028	4310
01030	500
01032	700
01033	1000
01035	9150
01036	3000
01037	250
01038	75
01039	4825
01040	15325
01050	730
01053	1250
01054	6261
01056	3021
01057	500
01059	250
01060	48927
01061	5700
01062	63154
01069	1258
01070	500
01071	15
01072	8195
01073	3955
01075	6795
01077	835
01081	1000
01085	2000
01088	480
01089	8450
01093	2500
01095	17776
01096	4008
01102	400
01103	18875
01104	2725
01105	2400
01106	47241
01107	1250
01108	154550
01109	5410
01111	41750
01118	200
01119	400
01144	4500
01201	20561
01202	180
01220	16
01223	5540
01226	550
01227	1800
01230	16100
01235	1489
01236	8955
01238	1000
01240	20828
01242	2700
01243	275
01244	70
01247	500
01253	315
01254	5375
01255	1016
01257	14400
01258	750
01260	500
01262	4415
01264	2350
01266	40400
01267	27385
01270	250
01301	5750
01330	3118
01331	350
01337	700
01340	283
01341	2058
01342	2000
01344	1000
01351	2928
01360	3275
01364	470
01366	2000
01367	250
01370	3950
01375	2700
01376	1650
01378	500
01379	3000
01420	2725
01430	2946
01431	436
01432	250
01440	3830
01450	13600
01451	58150
01452	250
01453	6025
01460	10010
01462	1250
01463	125
01464	900
01467	2900
01503	1500
01505	3716
01507	800
01510	4675
01518	7400
01519	1000
01520	6775
01521	310
01522	250
01523	927
01527	1415
01531	3680
01532	10380
01534	750
01535	250
01536	1250
01537	2675
01540	2250
01541	4500
01542	600
01543	100
01545	33961
01550	500
01561	205
01562	600
01564	4240
01566	2265
01568	6700
01569	18025
01570	725
01571	500
01581	6379
01583	1125
01585	512
01588	8100
01590	825
01602	11201
01603	750
01604	2500
01605	3750
01606	77576
01607	500
01608	1534
01609	32750
01610	1900
01611	1602
01612	1275
01613	2700
01701	22904
01702	12915
01703	5630
01719	2521
01720	50317
01721	13876
01730	33821
01740	10855
01741	23125
01742	616270
01745	3000
01746	10482
01747	4000
01748	14499
01749	20700
01752	10934
01754	503
01756	250
01757	4380
01760	23960
01770	17450
01772	87600
01773	161493
01775	4470
01776	63938
01778	277007
01801	26428
01803	7955
01807	200
01810	123675
01821	14828
01824	13951
01826	723
01827	1000
01830	7513
01832	8290
01833	5200
01834	250
01835	513
01840	2000
01841	295
01843	650
01844	4700
01845	25040
01851	5965
01852	26190
01853	106571
01854	2000
01860	25
01862	1250
01863	34900
01864	15764
01866	500
01867	9956
01876	9170
01879	2740
01880	35131
01885	250
01886	24056
01887	28650
01890	358268
01901	5350
01902	3440
01904	250
01905	6025
01906	5500
01907	53979
01908	17278
