id	rate
602	5000
605	500
610	500
614	400
637	500
646	28800
677	1000
681	500
725	3000
726	5400
729	5400
737	1000
738	5400
769	1000
778	2700
780	500
791	4700
801	6200
802	17700
803	4488
804	5100
820	12750
821	23534
824	24100
830	1800
831	500
850	2600
851	250
901	22900
902	7650
907	16250
908	4710
910	5900
911	39265
912	1350
913	1360
916	1000
917	4560
918	8525
919	23875
920	10100
921	1750
922	2700
925	1385
926	7110
927	1670
928	2700
929	2000
936	26280
959	6400
960	0
961	250
966	10350
968	750
969	7885
971	250
976	500
978	500
979	5060
983	4100
984	1000
1001	1200
1002	4083
1007	250
1013	855
1020	200
1028	250
1030	750
1035	2555
1038	500
1040	1950
1053	250
1056	1120
1060	250
1062	750
1068	250
1069	1500
1075	3815
1077	1402
1082	252
1083	1200
1085	10730
1089	650
1095	2000
1102	1000
1106	1900
1108	2000
1111	41600
1129	255
1144	3000
1201	500
1230	2000
1237	4250
1240	4050
1245	2700
1259	1025
1262	515
1264	500
1266	500
1267	5400
1301	2000
1331	2000
1339	300
1340	250
1342	2500
1370	200
1376	500
1420	2000
1430	250
1431	6868
1432	468
1440	3520
1450	6350
1451	5750
1453	13250
1460	44900
1463	4988
1464	250
1473	5200
1503	1925
1504	1250
1505	4698
1506	550
1507	5
1510	1250
1516	400
1518	10800
1519	250
1520	2000
1522	2700
1523	250
1532	3950
1534	9000
1535	200
1536	7611
1540	5000
1541	1000
1542	15000
1545	11025
1550	5572
1562	3590
1564	1200
1566	12450
1568	450
1569	1200
1570	3453
1571	2700
1581	140050
1583	500
1585	2195
1588	3000
1590	5500
1602	200
1603	2700
1604	250
1605	8000
1606	250
1609	7600
1612	1000
1613	4827
1701	19595
1702	5122
1719	4051
1720	4000
1721	2300
1730	3822
1740	1400
1741	17600
1742	577331
1746	10750
1747	750
1748	13500
1749	17759
1752	14350
1754	8000
1756	450
1757	2456
1760	31207
1770	6700
1772	13595
1773	30360
1775	9400
1776	95100
1778	62701
1801	3500
1803	1530
1810	58379
1821	1550
1824	4106
1826	11550
1827	798
1830	3000
1832	750
1833	2270
1834	250
1843	2500
1844	500
1845	23800
1851	7000
1852	9700
1853	3200
1854	500
1862	2000
1863	1500
1864	16601
1867	11675
1876	11675
1879	19400
1880	3500
1886	5951
1887	7400
1890	106350
1901	250
1902	1200
1905	8400
1906	18919
1907	53950
1908	1000
1913	551
1915	101065
1921	23075
1923	2510
1929	5900
1930	15551
1938	23800
1940	54439
1944	156150
1945	58496
1949	1109
1950	5000
1951	450
1952	42701
1960	29662
1965	200
1966	3650
1969	2000
1970	8070
1982	9951
1983	15900
1984	4000
1985	4830
2019	2950
2021	14900
2025	12366
2026	42875
2030	188165
2032	1300
2035	6402
2038	850
2043	108701
2048	2250
2050	15855
2052	8501
2053	1500
2056	500
2059	400
2061	55700
2062	218422
2066	5940
2067	2975
2072	5950
2081	9050
2090	63627
2093	5650
2108	83620
2109	97410
2110	241630
2111	55275
2113	2250
2114	487759
2115	58360
2116	486455
2117	177540
2118	68201
2119	2500
2124	250
2125	2500
2126	500
2127	12847
2128	200
2129	34523
2130	6400
2132	41810
2134	3351
2135	12950
2136	1000
2138	40895
2139	15301
2140	1969
2141	1750
2142	17700
2143	17177
2144	2704
2145	4548
2148	2500
2149	6041
2150	500
2151	6960
2152	700
2155	2277
2158	2700
2163	1300
2169	23750
2170	1450
2171	61425
2176	3080
2180	7150
2184	13825
2185	1500
2186	56960
2189	200
2191	18810
2196	7100
2199	106212
2205	500
2210	76450
2215	2150
2241	3015
2301	3300
2302	1630
2303	2700
2324	511
2330	250
2331	3000
2332	27700
2339	4795
2341	250
2343	1200
2346	750
2347	13920
2351	1420
2355	750
2356	9400
2359	750
2360	1800
2364	31451
2368	5900
2370	15000
2375	2100
2382	11100
2420	40450
2421	32120
2445	189160
2446	12559
2451	70250
2452	1451
2453	10600
2454	5000
2458	234866
2459	56630
2460	3500
2461	1250
2464	250
2465	43450
2466	2910
2467	183700
2468	10400
2472	20891
2474	2663
2476	3730
2478	40350
2481	399611
2482	49910
2492	57685
2493	191020
2494	20060
2534	200
2535	27900
2536	500
2537	2350
2539	1150
2540	900
2541	200
2543	3800
2553	1500
2554	25320
2556	1117
2562	200
2563	1920
2564	11784
2568	2900
2571	1000
2574	2500
2575	300
2601	1500
2630	1650
2631	3220
2632	5000
2633	8375
2635	16050
2637	5400
2639	200
2641	550
2643	1751
2645	400
2646	2500
2648	500
2649	4290
2650	3750
2651	250
2653	809
2655	14550
2659	2700
2660	3000
2662	650
2664	6900
2668	1250
2669	500
2670	1500
2671	603
2672	2500
2673	5250
2675	711
2702	250
2703	5512
2717	9600
2719	750
2720	6250
2722	203
2726	500
2738	11775
2739	3600
2742	3600
2743	250
2745	1000
2746	212
2747	250
2748	4000
2760	2750
2762	1750
2766	15950
2767	12650
2769	1352
2770	1500
2771	11050
2777	415
2780	3145
2790	8400
2791	2600
2804	600
2806	143805
2809	1150
2816	750
2817	800
2818	12910
2822	5000
2825	250
2828	750
2830	239
2832	2355
2835	4823
2837	12250
2840	23475
2842	1000
2852	10300
2857	250
2864	1800
2865	2132
2871	1222
2874	2700
2878	4125
2879	1250
2880	1100
2882	1250
2885	398
2886	16450
2888	3850
2889	2000
2891	1500
2893	200
2895	5300
2896	500
2898	250
2901	1750
2903	30350
2904	1000
2905	5350
2906	49650
2908	300
2909	365
2910	700
2912	600
2914	898
2915	934
2916	950
2919	852
2920	750
2940	1921
3031	39164
3033	2000
3034	951
3036	701
3037	700
3038	11888
3042	250
3043	1700
3044	1850
3045	565
3046	750
3049	10498
3051	3032
3052	250
3053	5627
3054	4769
3055	2000
3060	2750
3061	1500
3062	9378
3063	10537
3064	1125
3070	1098
3071	2000
3076	1500
3077	1050
3079	19287
3082	500
3086	4250
3087	5250
3101	20200
3102	7603
3103	7400
3104	25836
3105	99800
3106	4150
3108	5700
3109	1175
3110	91371
3223	501
3224	3466
3226	23400
3227	1900
3229	3299
3230	270
3231	500
3233	250
3237	1250
3244	3346
3245	804
3246	11450
3247	1400
3249	11130
3253	13353
3254	25850
3255	2900
3257	6300
3263	500
3264	550
3268	525
3269	525
3275	500
3276	5
3278	1250
3279	1000
3281	200
3287	250
3289	250
3290	21450
3301	249759
3302	9100
3303	2000
3304	5051
3431	5375
3442	650
3444	11550
3446	2000
3449	3699
3450	1499
3452	8350
3455	300
3458	14050
3461	2574
3464	2250
3467	2700
3561	500
3570	925
3580	648
3584	1046
3586	650
3602	1250
3608	1450
3743	250
3745	800
3748	500
3750	10600
3753	800
3755	159360
3766	1746
3768	8200
3770	250
3774	250
3777	500
3781	1450
3782	44470
3784	3200
3801	58399
3802	25320
3809	55150
3810	5450
3811	38296
3816	1500
3818	1750
3820	12097
3821	300
3824	18901
3825	5016
3826	190
3833	8598
3836	2094
3837	500
3841	960
3842	50066
3844	4098
3845	1000
3846	1950
3848	2949
3849	8556
3850	300
3851	2804
3853	1000
3854	6000
3855	220
3856	3249
3857	4300
3860	1546
3861	2949
3862	21148
3865	550
3867	6000
3868	3090
3869	1613
3870	53318
3871	7600
3872	1000
3873	1000
3874	1250
3875	250
3878	250
3883	1000
3884	1500
3885	14496
3894	130638
3902	7500
3903	1000
3904	1010
3905	500
3907	5450
3909	4151
3910	2000
3911	700
4001	500
4002	28450
4004	250
4005	500
4006	2900
4008	2500
4009	750
4011	6550
4015	1650
4021	5250
4027	250
4032	42114
4037	750
4038	4000
4039	11500
4043	9320
4046	31050
4047	201
4055	2500
4062	15344
4064	3450
4066	250
4069	2500
4071	2700
4072	3312
4074	32175
4076	500
4078	10200
4079	317
4083	1500
4086	7775
4090	5959
4092	1500
4096	50250
4097	19250
4101	35150
4102	18120
4103	20450
4104	800
4105	114383
4106	7557
4107	37186
4108	781
4109	200
4110	54065
4112	9000
4210	23614
4211	550
4212	6000
4217	2750
4220	500
4222	3224
4234	500
4240	3600
4241	5400
4252	750
4254	250
4260	1500
4266	3000
4268	52812
4270	8225
4274	2920
4276	1000
4281	4000
4282	1200
4287	220
4294	2000
4330	51750
4332	500
4345	1000
4347	450
4348	550
4349	500
4350	250
4351	2250
4354	250
4357	250
4358	200
4364	66800
4401	62342
4402	1665
4412	7700
4416	1425
4419	270
4426	2900
4429	13245
4444	28340
4455	250
4457	4700
4468	8500
4474	250
4488	10800
4493	2060
4530	1300
4535	1000
4537	700
4543	700
4544	598
4547	1250
4548	2000
4551	2700
4553	612
4555	5650
4556	262
4558	350
4562	700
4568	2750
4572	14650
4574	500
4576	6960
4579	7400
4605	1974
4606	250
4607	750
4609	850
4619	403
4627	250
4630	500
4631	600
4640	3750
4643	1512
4654	500
4660	750
4662	250
4669	179
4671	1000
4675	200
4676	10250
4681	1000
4684	250
4694	550
4730	500
4736	200
4742	400
4757	500
4758	1500
4761	250
4769	7951
4780	250
4783	250
4785	1500
4841	11324
4843	3725
4849	2000
4855	500
4856	4205
4860	1750
4861	500
4864	500
4901	42000
4911	16200
4912	1000
4915	2512
4918	1000
4928	500
4937	700
4938	12850
4943	205
4945	2500
4947	250
4950	7900
4953	4700
4955	451
4957	2000
4963	85077
4966	1000
4967	4000
4970	1000
4973	500
4976	1000
4981	200
4986	500
4989	250
5046	0
5053	500
5055	2750
5059	1500
5060	700
5061	500
5071	10450
5089	8125
5091	1500
5143	500
5146	1800
5149	598
5152	245
5201	1890
5251	1950
5255	2690
5262	500
5301	2500
5340	3000
5341	500
5345	500
5346	205
5356	950
5363	500
5401	45700
5402	5400
5403	3944
5404	4250
5408	730
5443	2306
5444	750
5445	5775
5446	10600
5451	250
5452	4600
5461	250
5464	304
5465	2405
5466	250
5468	3051
5472	7250
5477	2700
5478	15550
5482	43310
5488	4451
5489	500
5490	1200
5491	2951
5495	3450
5602	6050
5641	12750
5660	2000
5661	1225
5663	1100
5664	520
5672	10300
5673	2250
5674	5000
5677	250
5682	300
5701	250
5735	200
5739	200
5746	1650
5753	500
5759	1000
5761	250
5763	4025
5767	35201
5769	1000
5773	1450
5777	250
